UniqID,College code,Branch Code,Catogery OC Cutoff,Department ID,District ID
1238EE,1238,EE,121.96,3,1
2659EE,2659,EE,136.7,3,2
1510EE,1510,EE,130.78,3,3
3804EC,3804,EC,138.275,4,4
1519EC,1519,EC,117.64,4,5
1408CE,1408,CE,141,2,6
2641EC,2641,EC,142.815,4,7
1421ME,1421,ME,130.76,5,6
1430ME,1430,ME,126.76,5,8
2657BT,2657,BT,153,6,9
1CS,1,CS,199,1,10
2611PU,2611,PU,126,6,9
4946EE,4946,EE,97.5,3,11
3466EE,3466,EE,122.76,3,12
3905EE,3905,EE,144.24,3,13
2342ME,2342,ME,145.845,5,14
2606EE,2606,EE,122.19,3,7
5912EE,5912,EE,123.605,3,15
4949EC,4949,EC,102.5,4,16
2713IT,2713,IT,145.925,1,17
2611AE,2611,AE,142.09,5,9
2647IT,2647,IT,104.5,1,9
1518IT,1518,IT,127.24,1,18
2609CE,2609,CE,133.42,2,9
2609AE,2609,AE,147.135,5,9
2715BM,2715,BM,160.385,6,17
5865ME,5865,ME,142.955,5,19
2753EC,2753,EC,122.275,4,14
1520EC,1520,EC,156.27,4,20
1507EC,1507,EC,121.045,4,20
2642ME,2642,ME,126.275,5,21
2651FT,2651,FT,142.955,8,22
2347ME,2347,ME,141.29,5,2
3908CE,3908,CE,141.695,2,13
1402CS,1402,CS,146.33,1,8
3806CE,3806,CE,114.35,2,23
3920EE,3920,EE,133.54,3,13
3815TX,3815,TX,137.13,15,24
2609AO,2609,AO,133.5,5,9
2767BM,2767,BM,140.705,6,9
1CM,1,CM,198,1,10
1EC,1,EC,197.99,4,10
1523EC,1523,EC,139.79,4,25
2609PU,2609,PU,145.33,6,9
2614EE,2614,EE,118.29,3,9
4933EE,4933,EE,121.475,3,26
1229CS,1229,CS,143.35,1,1
1504CH,1504,CH,150.285,7,18
2683BM,2683,BM,138.53,6,7
1212EC,1212,EC,132.85,4,27
1412ME,1412,ME,133.1,5,6
5703EC,5703,EC,132.845,4,28
2636ME,2636,ME,138.615,5,2
1303AG,1303,AG,148.19,2,29
2345AG,2345,AG,142.56,2,2
2661EE,2661,EE,146.96,3,9
1IM,1,IM,197,1,10
2610MZ,2610,MZ,136.045,5,9
2776MZ,2776,MZ,145.515,5,14
1519IT,1519,IT,153.275,1,5
5832ME,5832,ME,143.955,5,28
1441EC,1441,EC,123.76,4,8
3825ME,3825,ME,134.755,5,4
4959ME,4959,ME,158.505,5,30
4993CS,4993,CS,161.33,1,11
1EM,1,EM,196.575,4,10
2639EE,2639,EE,142.67,3,2
1241CS,1241,CS,159,1,1
1EE,1,EE,195.995,3,10
2646EE,2646,EE,134.955,3,2
1501EE,1501,EE,135,3,25
1430CS,1430,CS,147.055,1,8
1421EE,1421,EE,132.885,3,6
