College code,College Name,District ID
1238,GRT Institute of Engineering and Technology,1
2659,Salem College of Engineering and Technology,2
1510,Priyadarshini Engineering College,3
3804,Arasu Engineering  College,4
1519,Bharathidasan Engineering College,5
1408,I F E T College of Engineering  (Autonomous),6
2641,Varuvan Vadivelan Institute of Technology,7
1421,V R S College of Engineering and Technology,6
1430,Maha Bharathi Engineering College,8
2657,Paavai College of Technology,9
1,University Departments of Anna University,10
2611,Paavai Engineering College (Autonomous),9
4946,D M I Engineering College,11
3466,Nelliandavar Institute of Technology,12
3905,Kings College of Engineering,13
2342,Sri Ranganathar Institute of Engineering and Technology,14
2606,Jayam College of Engineering and Technology,7
5912,Pandian Saraswathi Yadav Engineering College,15
4949,PSN Institute of Technology and Science,16
2713,M P Nachimuthu M Jagannathan Engineering College,17
2647,J K K Nataraja College of Engineering and Technology,9
1518,Thiruvalluvar College of Engineering and Technology,18
2609,Mahendra Engineering College (Autonomous),9
2715,Nandha Engineering College (Autonomous),17
5865,Nadar Saraswathi College of Engineering and Technology,19
2753,P P G Institute of Technology,14
1520,Kingston Engineering College,20
1507,Ganadipathy TulsiÕs Jain Engineering College,20
2642,P S V College of Engineeering and Technology,21
2651,Jai Shriram Engineering College,22
2347,AVS College of Technology,2
3908,Mount Zion College of Engineering and Technology,13
1402,Annai Terasa College of Engineering,8
3806,E G S Pillay  Engineering College (Autonomous),23
3920,Sudharsan Engineering College,13
3815,Pavendhar Bharathidasan College of Engineering and Technology,24
2767,SRG Engineering College,9
1523,Global Institute of Engineering and Technology,25
2614,S S M College of Engineering,9
4933,St. Mother Theresa Engineering College,26
1229,Indira Institute of Engineering and Technology,1
1504,Arunai Engineering College,18
2683,Shreenivasa Engineering College,7
1212,Rajiv Gandhi College of Engineering,27
1412,Mailam Engineering College,6
5703,Christian College of Engineering and Technology,28
2636,A V S Engineering College,2
1303,Anand Institute of Higher Technology,29
2345,Dhirajlal Gandhi College of Technology,2
2661,Vivekanandha College of Technology for Women,9
2610,Muthayammal Engineering College (Autonomous),9
2776,R V S Technical Campus-Coimbatore,14
5832,N P R College of Engineering and Technology,28
1441,A K T Memorial College of Engineering and Technology,8
3825,St. Josephs College of Engineering and Technology,4
4959,Kamaraj College of Engineering and Technology (Autonomous),30
4993,Loyola Institute of Technology and Science,11
2639,Narasus Sarathy Institute of Technology,2
1241,T J S Engineering College,1
2646,Tagore Institute of Engineering and Technology,2
1501,Adhiparasakthi College of Engineering,25
2613,K S R College of Engineering (Autonomous),9
2354,Pollachi Institute of Engineering and Technology,14
5913,R V S College of Engineering,28
2,University Departments of Anna University,10
2769,J C T College of Engineering and Technology,14
1230,Apollo Engineering College,27
2749,EASA College of Engineering and Technology,14
4972,AMRITA  College of Engineering and Technology,11
4970,Sree Sowdambiga  College of Engineering,30
4670,Rohini College of Engineering & Technology,11
4931,Grace College of Engineering,26
2648,Annaporna Engineering College,2
4966,PET Engineering College,16
2650,Christ the King Engineering College,14
3860,St. Annes College of Engineering and Technology,31
5942,Ultra College of Engineering and  Technology,32
4676,Renganayagi Varatharaj College of Engineering,30
3812,Mookambigai College of Engineering,13
1512,S K P Engineering College,18
1325,St. Joseph College of Engineering,27
1207,Kings Engineering College,27
4982,Vins Christian College of Engineering,11
4672,Stella Marys College of Engineering,11
1233,Adhi College of Engineering and Technology,27
1316,Agni College of Technology,29
2729,Nehru Institute of Engineering and Technology,14
3461,Arifa Institute of Technology(Formly Haji sheik Ismail Engineering College),23
4989,P S N Engineering College,16
4964,PSN College of Engineering and  Technology and Science,16
3805,Dhanalakshmi Srinivasan  Engineering College (Autonomous),33
2743,Dhanalakshmi Srinivasan College of Engineering,14
4981,Ponjesly College of  Engineering,11
1503,Arulmigu  Meenakshi Amman College of Engineering,18
1137,Annai Mira College of Engineering and Technology,25
1399,Chennai Institute of Technology,10
4917,Sethu Institute of Technology (Autonomous),30
3462,Ariyalur Engineering College,12
1513,Sri Balaji Chockalingam Engineering College,18
2707,Erode Sengunthar Engineering College (Autonomous),17
1450,Loyola-ICAM College of Engineering and Technology,10
3821,A R J College of Engineering and Technology,34
4954,Dr. Sivanthi Aditanar College of Engineering,26
5990,Latha Mathavan Engineering College,32
4944,Arunachala College of Engineering for Women,11
5502,Sree Raaja Raajan College of Engineering & Technology,15
2758,J K K Muniraja College of Technology,17
2705,C S I College of Engineering,35
4955,Francis Xavier Engineering College (Autonomous),16
4994,J P College of Engineering,36
3786,M.A.M. School of Engineering,24
3803,Anjalai Ammal-Mahalingam Engineering College,34
5935,Fatima Michael College of Engineering & Technology,32
1505,C Abdul Hakeem College of Engineering and Technology,25
4975,Dr. G U Pope College of Engineering,26
3833,Parisutham Institute of Technology and Science,4
2349,Dhaanish Ahmed Institute of Technology,14
1126,J N N Institute of Engineering,1
2338,Asian College of Engineering and Technology,14
3813,Oxford Engineering College,24
1226,P T Lee Chengalvaraya Naicker College of Engineering and Technology,27
4680,AAA College of Engineering and Technology,30
4928,MAR Ephraem College of Engineering & Technology,11
4984,Marthandam College of Engineering & Technology,11
1517,Thirumalai Engineering College,27
5530,SSM Institute of Engineering and Technology,28
2629,Sengunthar College of Engineering,9
4952,C S I Institute of Technology,11
5930,SBM College of Engineering and Technology,28
4965,P S R  Engineering College (Autonomous),30
2727,Sri Shakthi Institute of Engineering and Technology (Autonomous),14
5988,Theni Kammavar Sangam College of Technology,19
2731,R V S College of Engineering and Technology,14
2653,Knowledge Institute of Technology,2
4978,Udaya School of Engineering,11
4675,Universal College of Engineering and Technology,16
5919,St. Michael College of Engineering and Technology,15
1317,St. JosephÕs College of Engineering (Autonomous),10
3841,CARE College of Engineering (Formerly C.A.R.E Group of Institutions),24
2716,Park College of Engineering and Technology,14
5532,Vaigai College of Engineering,32
2737,Sri Sai Ranganathan Engineering College,14
2607,K S Rangasamy College of Technology (Autonomous),9
1304,Easwari Engineering College (Autonomous),10
4967,S Veerasamy Chettiar College of  Engineering and Technology,36
2302,Sri Shanmugha College of Engineering and Technology,2
1419,Sri Sairam Enginering College (Autonomous),10
5902,Bharath Niketan Engineering College,19
3810,M.A.M. College of Engineering,24
5915,SACS-M A V M M Engineering College,32
5921,Syed Ammal Engineering College,37
3801,A V C College of Engineering,38
5907,Mohamed Sathak Engineering College,37
4971,St. Xavier Catholic College of Engineering,11
4999,Annai Vailankanni College of Engineering,11
1110,Prathyusha Engineering college,1
4962,National  Engineering College (Autonomous),26
5986,Velammal College of Engineering and Technology,32
2329,Rathinam Technical Campus,14
4864,V V College of Engineering,26
2638,Mahendra Engineering College for Women,9
