District,District ID
Thiruvallur,1
Salem,2
Tirupattur,3
Thanjavur,4
Thiruppathur,5
Villupuram,6
Dharmapuri,7
Kallakurichi,8
Namakkal,9
Chennai,10
Kanyakumari,11
Ariyalur,12
Pudukkottai,13
Coimbatore,14
Sivagangai,15
Tirunelveli,16
Erode,17
Thiruvannamalai,18
Theni,19
Vellore,20
Krishnagiri,21
Tiruppur,22
Nagapattinam,23
Trichy-Tiruchirappalli,24
Ranipet,25
Thoothukudi,26
Kancheepuram,27
Dindigul,28
Chengalpattu,29
Virudhunagar,30
Cuddalore,31
Madurai,32
Perambalur,33
Thiruvarur,34
Nilgiris,35
Tenkasi,36
Ramanathapuram,37
Mayiladuthurai,38
Karur,39
